Airline,Month,Passengers_In,Passengers_Out
Emirates,Nov,101890.0,97339.0
Emirates,Oct,144069.0,82236.0
Emirates,Sep,128559.0,123760.0
Etihad Airways,Apr,38250.0,48128.0
Etihad Airways,Aug,48200.0,53814.0
Etihad Airways,Dec,42759.0,50568.0
Etihad Airways,Feb,40683.0,30152.0
Etihad Airways,Jan,56934.0,42852.0
Etihad Airways,Jul,55043.0,44185.0
Etihad Airways,Jun,39179.0,53202.0
Etihad Airways,Mar,27312.0,36637.0
Etihad Airways,May,31958.0,51096.0
Etihad Airways,Nov,37582.0,38975.0
Etihad Airways,Oct,54175.0,33853.0
Etihad Airways,Sep,51182.0,48843.0
Eva Air,Apr,4097.0,4317.0
Eva Air,Aug,5771.0,5903.0
Eva Air,Dec,7407.0,9981.0
Eva Air,Feb,4605.0,4181.0
Eva Air,Jan,6514.0,5596.0
Eva Air,Jul,2337.0,1137.0
Eva Air,Jun,2840.0,3191.0
Eva Air,Mar,4329.0,4600.0
Eva Air,May,4676.0,4312.0
Eva Air,Nov,4054.0,4562.0
Eva Air,Oct,5372.0,4514.0
Eva Air,Sep,4448.0,4620.0
Federal Express Corporation,Apr,0.0,0.0
Federal Express Corporation,Aug,0.0,0.0
Federal Express Corporation,Dec,0.0,0.0
Federal Express Corporation,Feb,0.0,0.0
Federal Express Corporation,Jan,0.0,0.0
Federal Express Corporation,Jul,0.0,0.0
Federal Express Corporation,Jun,0.0,0.0
Federal Express Corporation,Mar,0.0,0.0
Federal Express Corporation,May,0.0,0.0
Federal Express Corporation,Nov,0.0,0.0
Federal Express Corporation,Oct,0.0,0.0
Federal Express Corporation,Sep,0.0,0.0
Fiji Airways,Apr,20873.0,23540.0
Fiji Airways,Aug,19380.0,19425.0
Fiji Airways,Dec,22285.0,26091.0
Fiji Airways,Feb,14682.0,14383.0
Fiji Airways,Jan,26844.0,22497.0
Fiji Airways,Jul,24859.0,23038.0
Fiji Airways,Jun,19771.0,23622.0
Fiji Airways,Mar,16997.0,18031.0
Fiji Airways,May,20347.0,20470.0
Fiji Airways,Nov,22180.0,21109.0
Fiji Airways,Oct,23534.0,21793.0
Fiji Airways,Sep,17838.0,20385.0
Garuda Indonesia,Apr,22656.0,26031.0
Garuda Indonesia,Aug,25759.0,26672.0
Garuda Indonesia,Dec,22271.0,30714.0
Garuda Indonesia,Feb,23195.0,16279.0
Garuda Indonesia,Jan,36343.0,27185.0
Garuda Indonesia,Jul,32757.0,31372.0
Garuda Indonesia,Jun,23945.0,32531.0
Garuda Indonesia,Mar,18627.0,19480.0
Garuda Indonesia,May,20888.0,19590.0
Garuda Indonesia,Nov,21756.0,21507.0
Garuda Indonesia,Oct,26896.0,24344.0
Garuda Indonesia,Sep,26064.0,27775.0
Hainan Airlines,Apr,10927.0,12254.0
Hainan Airlines,Aug,10875.0,13126.0
Hainan Airlines,Dec,6257.0,10791.0
Hainan Airlines,Feb,11601.0,9798.0
Hainan Airlines,Jan,13380.0,10477.0
Hainan Airlines,Jul,13704.0,9286.0
Hainan Airlines,Jun,7581.0,10579.0
Hainan Airlines,Mar,9704.0,8229.0
Hainan Airlines,May,9082.0,9350.0
Hainan Airlines,Nov,6033.0,8537.0
Hainan Airlines,Oct,10920.0,9374.0
Hainan Airlines,Sep,7994.0,9760.0
Hawaiian Airlines,Apr,9303.0,10179.0
Hawaiian Airlines,Aug,7735.0,9730.0
Hawaiian Airlines,Dec,9060.0,11076.0
Hawaiian Airlines,Feb,7893.0,6709.0
Hawaiian Airlines,Jan,11585.0,9975.0
Hawaiian Airlines,Jul,10307.0,9761.0
Hawaiian Airlines,Jun,7637.0,9541.0
Hawaiian Airlines,Mar,7233.0,8891.0
Hawaiian Airlines,May,10546.0,10385.0
Hawaiian Airlines,Nov,8335.0,8716.0
Hawaiian Airlines,Oct,11855.0,10974.0
